Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00648001


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
648001;1;01/01/2020;1;76,5;189,8;28;13;1;1;1;;0;0,0;0,9;1,8;2,1;0,0;0,0;37,9;0,0;1,6;0,0;23,3;0,0;16,3;0,0;0,0;0,0;0,0;11,8;0,0;0,0;0,0;6,4;0,0;2,5;0,0;0,7;0,0;76,5;8,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/12/2019;1;52,1;88,1;25;7;1;1;1;;0;0,0;3,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,3;0,0;0,0;8,3;0,0;0,0;6,5;0,0;8,0;0,0;0,0;0,0;0,0;0,0;0,0;52,1;0,0;2,1;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/10/2019;1;59,9;74,8;22;6;3;3;3;;0;0,0;3,0;2,3;0,0;0,0;0,0;2,1;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;59,9;0,0;0,0;0,0;5,2;0,0;0,0;0,0;0,0;0,0;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/09/2019;1;5,6;10,9;5;2;2;2;2;;0;0,0;0,0;0,0;0,0;5,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
648001;1;01/08/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/07/2019;1;33,3;58,2;16;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;8,0;3,5;10,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;33,3;0,0;0,0;3,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/06/2019;1;9,0;10,5;20;2;1;1;1;;0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
648001;1;01/05/2019;1;75,0;123,3;17;7;1;1;1;;0;0,0;5,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,0;11,0;75,0;14,9;0,0;8,6;0,0;0,0;0,0;1,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
648001;1;01/04/2019;1;117,0;309,9;5;13;1;1;1;;0;99,3;0,0;0,0;0,0;117,0;0,5;0,0;4,1;0,0;16,2;0,0;22,4;1,0;0,0;8,7;2,3;13,4;0,0;0,0;0,0;8,2;0,0;16,3;0,0;0,0;0,0;0,0;0,0;0,0;0,5;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
648001;1;01/03/2019;1;126,0;288,4;27;11;3;3;3;;0;17,8;16,4;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;2,1;25,6;0,0;0,0;0,0;4,6;8,2;0,0;0,0;0,0;27,9;0,0;0,0;0,0;0,0;126,0;0,0;2,1;0,0;56,7;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;
