Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02255002


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2255002;1;01/08/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2255002;1;01/07/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2255002;1;01/06/2019;1;0,0;0,0;1;0;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2255002;1;01/05/2019;1;27,1;51,7;8;3;1;1;1;;0;14,6;0,0;0,0;10,0;0,0;0,0;0,0;27,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2255002;1;01/04/2019;1;80,0;181,5;21;8;3;3;3;;0;0,0;30,0;20,0;0,0;0,0;17,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;80,0;10,0;7,0;0,0;0,0;15,0;0,0;2,5;0,0;0,0;;1;3;3;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;1;3;1;1;1;1;0;
2255002;1;01/03/2019;1;95,0;363,7;20;11;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;64,7;0,0;30,0;7,0;7,0;15,0;25,0;30,0;35,0;30,0;25,0;95,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;
2255002;1;01/02/2019;1;70,0;133,0;15;7;3;3;3;;0;2,0;0,0;9,5;0,0;0,0;3,0;0,0;3,5;0,0;0,0;0,0;0,0;0,0;0,0;70,0;0,0;0,0;5,0;0,0;40,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;3;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;1;3;1;3;1;1;1;1;1;1;1;1;0;0;0;
2255002;1;01/01/2019;1;100,1;233,1;12;7;1;1;1;;0;0,0;0,0;0,0;0,0;70,0;0,0;0,0;0,0;0,0;0,0;0,0;100,1;15,0;0,0;0,0;0,0;0,0;0,0;38,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;3,5;0,0;3,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2255002;1;01/12/2018;1;40,0;78,3;24;5;3;3;3;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;30,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;40,0;0,0;0,0;0,0;1,3;5,0;2,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;3;1;1;1;1;3;3;1;
2255002;1;01/11/2018;1;87,9;205,3;2;5;1;1;1;;0;0,0;87,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;37,4;0,0;0,0;0,0;0,0;32,0;0,0;0,0;0,0;37,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
