Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02345108


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2345108;1;01/08/1985;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;6,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;;;3,8;0,0;0,0;2,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;
2345108;1;01/07/1985;1;7,4;9,0;8;2;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/06/1985;1;;;;;0;0;0;;0;0,0;0,0;6,6;11,8;;;;;32,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2345108;1;01/05/1985;1;;;;;0;0;0;;0;25,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;;;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,0;40,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,2;0,0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/04/1985;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;3,4;47,2;;;62,6;0,0;1,2;0,0;0,0;;;;6,4;5,0;0,0;0,0;0,0;0,0;0,0;0,0;40,0;;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;
2345108;1;01/03/1985;1;;;;;0;0;0;;0;;;100,8;11,2;5,2;2,4;0,0;;;6,2;0,0;0,0;8,6;0,0;;;46,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;13,6;9,8;0,0;0,0;;;30,6;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;
2345108;1;01/02/1985;1;;;;;0;0;0;;0;;;5,2;2,4;3,0;2,2;0,0;0,0;0,0;0,0;0,0;9,4;0,0;0,0;;;;;1,0;30,0;;;;95,6;3,0;5,2;32,0;44,6;;;;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;
2345108;1;01/01/1985;1;;;;;0;0;0;;0;63,0;18,8;0,0;;;0,2;0,0;27,0;0,8;0,0;;;97,6;5,6;1,2;3,6;1,2;;;5,2;1,0;39,0;90,0;8,6;;;22,4;0,6;1,0;2,2;48,2;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;
2345108;1;01/12/1984;1;;;;;0;0;0;;0;;27,0;6,4;2,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;;;31,0;2,0;0,0;0,2;0,0;;;;;21,0;2,4;12,0;0,0;0,0;0,0;0,0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;1;1;1;1;1;1;1;
2345108;1;01/11/1984;1;;;;;0;0;0;;0;10,4;;;6,6;10,0;9,8;2,0;0,0;;;7,2;10,4;4,0;;;;;39,0;9,6;5,0;0,0;0,0;;;8,4;5,4;0,0;0,0;0,0;0,0;;1;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;0;
2345108;1;01/10/1984;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;;;7,2;19,0;0,0;0,0;;;;0,4;12,8;0,0;0,0;21,0;;;5,8;0,0;0,0;2,4;3,8;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;0;0;1;1;1;1;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/09/1984;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;;;;28,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;4,8;21,2;0,0;0,0;0,0;2,2;8,6;23,0;1,4;0,0;0,0;0,0;;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2345108;1;01/08/1984;1;;;;;0;0;0;;0;0,0;27,8;;;3,0;0,0;;4,6;0,2;0,0;0,0;0,0;0,0;0,0;3,4;1,6;;;29,8;0,4;2,6;27,2;1,8;;;4,2;0,0;1,6;3,2;0,8;0,0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;
2345108;1;01/07/1984;1;;;;;0;0;0;;0;0,2;0,0;4,4;0,0;;;6,4;0,0;0,0;0,0;0,0;0,0;;;4,0;0,0;0,0;0,0;0,0;;;0,2;0,0;0,0;0,0;12,2;0,0;0,0;0,0;0,0;0,0;1;1;1;1;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/06/1984;1;5,6;5,8;13;2;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,6;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2345108;1;01/05/1984;1;10,2;36,0;17;5;1;1;0;;0;4,8;7,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,0;9,8;0,0;0,0;10,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2345108;1;01/04/1984;1;57,6;135,8;1;9;1;1;0;;0;57,6;0,0;41,0;5,0;0,4;0,0;0,0;14,8;9,2;0,0;1,0;0,0;0,0;0,0;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,6;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2345108;1;01/03/1984;1;78,0;112,4;29;7;1;1;0;;0;0,0;0,0;0,0;0,0;0,0;3,6;0,0;10,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;1,6;5,6;12,8;0,0;0,0;0,0;0,0;0,0;0,0;78,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
