Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02549018


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2549018;1;01/07/2019;1;6,2;15,8;5;5;1;1;1;;0;0,0;0,0;0,0;2,2;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/06/2019;1;44,0;120,6;1;7;1;1;1;;0;44,0;10,6;17,8;4,8;0,0;0,6;0,0;0,0;0,0;0,0;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;42,6;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/05/2019;1;53,2;175,4;24;22;1;1;1;;0;0,0;1,2;0,2;0,0;8,4;0,0;0,4;0,2;0,4;0,2;0,8;5,8;0,0;3,2;0,6;2,0;2,6;2,8;1,6;0,8;0,0;0,0;5,2;53,2;3,4;0,0;0,0;0,0;37,8;17,6;27,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/04/2019;1;29,0;131,4;8;15;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;19,0;17,8;29,0;4,4;0,0;0,4;0,2;0,0;0,0;8,6;0,0;1,6;0,0;0,0;0,0;0,0;24,0;0,6;1,0;7,0;0,0;0,0;3,4;14,2;0,2;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/03/2019;1;36,2;104,4;7;20;1;1;1;;0;1,0;0,2;0,0;0,0;0,0;1,0;36,2;14,2;0,6;2,8;1,0;0,4;11,8;8,6;0,0;0,4;1,6;6,8;14,6;0,0;0,0;0,6;0,0;0,0;0,0;0,2;0,4;0,0;1,8;0,2;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/02/2019;1;84,6;311,6;22;18;1;1;1;;0;29,2;0,0;34,2;14,4;0,0;1,2;0,2;0,0;0,0;0,0;0,0;16,4;9,2;0,0;0,0;45,8;7,8;0,8;6,4;27,8;3,2;84,6;0,0;0,0;0,4;12,8;3,0;14,2;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;;
2549018;1;01/01/2019;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;12,2;4,4;1,2;1,6;25,6;0,0;0,8;14,0;4,8;15,6;9,8;4,4;13,0;1,8;0,2;9,8;24,8;1,4;0,4;2,2;23,4;0,8;0,0;0,0;0,0;0,0;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/09/2018;1;777,7;12479,4;15;25;1;1;1;;0;0,0;2,8;6,6;6,2;18,0;0,0;0,0;0,0;0,0;0,2;0,2;0,2;1,2;0,8;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;777,7;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/08/2018;1;35,2;46,4;25;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,2;0,0;0,0;0,0;6,0;1,8;0,0;35,2;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/07/2018;1;3,0;3,0;31;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/06/2018;1;14,2;91,6;3;13;1;1;1;;0;0,0;0,4;14,2;1,4;10,6;4,2;13,6;7,2;0,0;0,0;0,0;0,0;6,4;0,0;5,8;3,8;2,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;10,2;11,6;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/05/2018;1;19,8;25,6;19;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,2;0,6;0,0;0,0;0,4;0,0;0,0;0,0;2,4;0,0;0,0;19,8;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/04/2018;1;22,6;48,8;29;8;1;1;1;;0;0,0;0,0;0,2;0,0;0,0;19,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6;1,0;1,6;3,4;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;22,6;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/03/2018;1;70,8;342,8;4;23;1;1;1;;0;0,6;13,2;1,2;70,8;2,0;0,6;24,4;11,0;0,0;0,2;23,4;0,0;1,0;0,0;59,6;2,8;0,0;0,0;4,2;0,4;15,8;3,0;0,0;0,0;0,0;12,6;17,0;19,0;18,2;11,6;30,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/02/2018;1;34,8;69,8;13;13;1;1;1;;0;0,2;0,0;0,0;1,6;0,0;0,8;0,0;10,6;0,0;0,0;0,6;11,2;34,8;0,4;0,4;0,0;0,2;0,0;0,0;7,0;0,6;1,4;0,0;0,0;0,0;0,0;0,0;0,0;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;;;
2549018;1;01/01/2018;1;;;;;0;0;0;;0;18,2;2,8;0,0;0,0;0,0;0,0;0,0;1,4;0,2;10,0;3,0;9,2;12,4;4,0;6,4;0,0;42,2;4,0;8,0;59,6;19,8;51,4;5,6;21,6;2,4;2,0;0,8;0,0;32,4;21,4;1,8;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2549018;1;01/06/2017;1;63,6;178,8;7;12;1;1;1;;0;21,2;0,0;0,0;0,0;16,2;46,2;63,6;0,0;7,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,2;0,0;0,0;22,2;0,4;0,2;0,0;0,0;0,2;0,2;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2549018;1;01/05/2017;1;41,4;94,6;19;15;1;1;1;;0;0,0;0,2;0,0;0,0;6,0;0,0;0,2;0,0;0,0;0,0;0,2;0,6;0,0;7,4;0,0;0,0;0,0;0,0;41,4;12,0;0,8;14,4;0,0;0,6;0,0;0,0;3,0;4,4;0,0;3,2;0,2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
