Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02246088


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2246088;1;01/11/1994;1;25,0;180,7;18;27;1;1;1;;;0,1;0,1;0,1;0,1;10,0;21,0;19,5;0,2;0,1;10,0;0,1;0,1;10,0;10,5;10,3;11,4;21,2;25,0;10,0;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,1;0,1;10,0;10,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/10/1994;1;14,1;57,3;27;11;1;1;1;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,8;0,4;0,1;0,1;10,0;11,5;10,1;14,1;10,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/09/1994;1;0,1;0,5;22;5;1;1;1;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/08/1994;1;0,1;0,8;1;8;1;1;1;;;0,1;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/07/1994;1;12,8;26,9;25;31;1;1;1;;;0,2;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,1;0,4;0,3;0,2;0,3;0,1;0,1;0,1;0,1;10,0;12,8;0,1;0,1;0,1;0,1;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/06/1994;1;10,0;14,9;21;30;1;1;1;;;0,1;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,1;0,1;0,2;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;10,0;0,2;0,2;0,2;0,4;0,3;0,3;0,4;0,2;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/05/1994;1;24,8;64,9;14;29;1;1;1;;;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,0;0,0;0,2;0,1;0,1;0,1;24,8;11,6;15,4;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,2;0,2;10,0;0,2;0,2;0,1;0,1;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/04/1994;1;16,6;55,5;21;28;1;1;1;;;10,0;0,2;0,1;0,1;0,2;0,0;0,1;0,1;0,1;0,2;0,2;0,1;0,1;0,2;0,0;0,1;0,1;0,2;0,1;0,1;16,6;13,2;0,2;0,2;12,5;0,1;0,1;0,1;0,1;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/03/1994;1;40,0;299,4;13;31;1;1;1;;;0,1;10,0;21,0;0,2;0,2;0,2;10,0;10,1;5,4;8,3;10,0;30,0;40,0;10,0;10,1;0,1;10,0;0,1;20,1;0,2;0,2;0,1;20,0;10,0;26,0;15,5;0,2;0,1;10,0;0,2;21,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2246088;1;01/02/1994;1;23,0;165,2;21;28;1;1;1;;;0,2;0,1;10,0;18,1;13,2;0,2;0,1;20,0;18,3;10,0;10,1;20,0;0,2;10,0;10,0;0,2;0,2;0,1;0,1;0,1;23,0;0,2;0,1;0,1;0,1;0,2;0,2;0,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
