Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:02650019


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2650019;1;01/05/2020;1;22,5;59,4;22;9;1;1;1;;0;0,0;3,3;0,0;0,0;0,0;1,3;1,8;0,0;0,0;0,0;0,0;0,0;9,0;3,5;0,1;0,0;0,0;0,0;0,0;0,0;0,0;22,5;17,3;0,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/03/2020;1;12,4;16,0;19;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,2;2,4;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/02/2020;1;54,5;201,6;26;11;1;1;1;;0;0,0;0,0;19,3;3,1;3,3;0,0;0,0;4,3;30,0;46,3;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,6;0,0;0,0;0,0;0,0;0,0;34,1;54,5;2,9;0,0;0,0;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;
2650019;1;01/01/2020;1;90,6;190,2;11;12;1;1;1;;0;0,0;4,3;0,0;0,3;0,0;0,0;0,0;9,2;0,0;0,0;90,6;0,0;0,0;0,0;0,0;3,0;2,1;0,0;0,0;0,0;0,0;1,2;4,0;0,7;0,0;0,0;0,0;19,9;0,0;37,3;17,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/12/2019;1;15,4;77,1;18;12;1;1;1;;0;0,0;0,0;0,0;12,4;6,3;4,1;0,0;0,0;1,4;4,9;10,4;11,4;0,0;4,3;0,0;0,0;1,0;15,4;0,0;0,0;2,4;3,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/11/2019;1;35,1;139,8;27;12;1;1;1;;0;0,0;0,0;0,0;24,0;16,5;15,6;0,0;2,7;0,0;12,9;2,8;0,0;1,8;0,8;22,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;35,1;3,1;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2650019;1;01/10/2019;1;68,2;158,1;28;12;1;1;1;;0;0,0;0,0;3,2;0,0;0,5;20,8;5,4;0,0;0,0;0,0;0,0;0,0;0,0;2,5;9,7;0,0;0,0;22,2;4,3;0,0;4,7;8,3;0,0;0,0;0,0;0,0;0,0;68,2;0,0;0,0;8,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/09/2019;1;51,1;78,1;20;7;1;1;1;;0;7,4;1,3;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;0,0;0,0;0,0;3,2;51,1;7,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;
2650019;1;01/08/2019;1;9,3;18,0;23;4;1;1;1;;0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,0;0,0;0,0;7,0;0,0;0,0;0,0;9,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
2650019;1;01/07/2019;1;11,9;25,0;2;6;1;1;1;;0;0,0;11,9;3,0;0,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,8;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
