Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:03152014


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
3152014;1;01/12/1998;1;57,2;108,5;12;12;1;1;1;;0;0,0;0,0;2,9;0,4;0,0;1,0;0,0;0,0;1,9;0,0;0,0;57,2;3,0;1,0;0,0;0,0;0,3;10,6;0,0;0,0;0,0;3,6;3,4;0,0;0,0;0,0;0,0;0,0;23,2;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/11/1998;1;32,0;63,2;25;11;1;1;1;;0;0,0;0,0;0,0;3,8;0,0;0,0;0,6;0,8;0,0;0,0;0,2;0,0;0,2;0,0;0,0;2,4;12,6;6,4;0,0;0,0;0,0;0,0;0,0;0,2;32,0;4,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/10/1998;1;3,4;10,0;24;6;1;1;1;;0;0,0;0,0;0,0;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;3,4;0,0;0,6;0,2;0,0;2,6;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/09/1998;1;33,8;119,2;18;10;1;1;1;;0;0,0;0,0;11,4;13,2;0,0;0,0;0,0;2,0;0,0;0,0;0,0;8,0;9,4;0,0;0,0;0,0;0,0;33,8;0,0;6,6;20,2;0,8;0,0;0,0;0,0;0,0;13,8;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/08/1998;1;;;;;0;0;0;;0;0,0;2,2;0,4;0,0;0,0;8,6;0,6;0,0;0,0;0,0;3,4;0,0;0,0;0,0;18,4;0,8;0,0;0,0;0,0;0,6;0,0;0,0;45,8;16,0;;49,4;34,4;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/07/1998;1;46,0;133,0;7;8;1;1;1;;0;21,4;0,2;0,0;0,0;0,0;0,0;46,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;14,8;33,0;0,0;0,0;1,0;0,0;0,0;2,8;13,8;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/06/1998;1;45,8;121,9;11;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;8,2;2,9;35,0;45,8;0,4;0,0;0,0;2,0;0,0;24,8;0,0;0,0;0,0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;1,6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/05/1998;1;36,4;115,3;12;13;1;1;1;;0;1,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;36,4;0,9;0,0;32,8;16,8;5,5;0,0;0,0;0,0;0,0;0,0;0,0;1,5;10,6;2,3;0,0;0,3;0,6;5,0;0,8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/04/1998;1;;;;;0;0;0;;0;0,0;0,0;0,0;0,0;0,0;0,0;22,0;0,0;0,0;0,0;64,2;1,4;4,4;1,5;0,0;12,4;;12,8;4,2;0,0;0,0;0,0;0,0;0,4;0,0;0,0;0,4;5,2;0,0;1,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/03/1998;1;59,4;191,0;1;15;1;1;1;;0;59,4;9,0;0,4;0,0;0,0;0,0;6,6;12,2;0,8;6,4;0,0;4,6;5,2;26,0;0,6;0,0;0,0;15,6;38,0;3,6;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,6;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/02/1998;1;103,8;268,6;7;13;1;1;1;;0;0,2;9,2;0,0;90,2;0,2;1,4;103,8;0,0;2,4;27,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,4;0,0;0,0;0,0;27,4;5,0;0,0;0,4;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/01/1998;1;37,6;188,4;28;17;1;1;1;;0;12,6;13,2;3,6;0,8;1,4;19,2;29,0;0,0;0,0;0,0;0,0;3,4;0,0;0,0;4,4;0,0;0,4;0,6;0,0;0,0;0,0;18,0;0,0;1,4;0,0;0,0;0,0;37,6;19,0;21,8;2,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
3152014;1;01/12/1997;1;;;;;0;0;0;;0;0,0;0,0;1,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;39,8;23,6;0,0;0,0;0,0;0,0;0,0;0,8;0,0;;49,0;1,0;0,0;0,0;63,6;13,0;0,0;30,2;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
