Sistema de Informações Hidrológicas
Versão Web 3.0
© 2018 Agência Nacional de Águas (ANA)

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:00937026


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
937026;1;01/08/2000;1;13,0;77,1;12;12;1;1;1;;0;8,0;4,2;0,0;0,0;6,3;0,0;2,4;0,0;0,0;0,0;0,0;13,0;0,0;0,0;5,0;0,0;0,0;0,0;3,4;0,0;0,0;4,0;0,0;8,2;0,0;3,6;0,0;0,0;9,0;0,0;10,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/07/2000;1;6,1;41,7;31;12;1;1;1;;0;3,0;2,0;6,0;2,4;2,2;0,0;0,0;0,0;0,0;4,0;0,0;2,3;0,0;0,0;0,0;5,2;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;2,0;0,0;0,0;0,0;3,3;6,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/06/2000;1;20,2;52,1;25;7;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;2,6;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;0,0;0,0;0,0;20,2;0,0;12,0;0,0;8,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/05/2000;1;22,0;58,5;24;5;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,0;0,0;0,0;14,0;0,0;0,0;16,3;0,0;0,0;22,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/04/2000;1;27,0;77,6;8;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;27,0;5,2;0,0;0,0;0,0;0,0;0,0;18,3;0,0;22,0;0,0;0,0;0,0;0,0;3,1;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/03/2000;1;53,0;59,0;13;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;53,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/02/2000;1;30,2;52,5;14;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;6,4;0,0;0,0;30,2;0,0;3,4;0,0;0,0;5,3;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/01/2000;1;31,2;71,7;21;6;1;1;1;;0;0,0;0,0;1,8;0,0;0,0;25,0;0,0;6,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4,3;0,0;31,2;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/12/1999;1;9,2;25,9;3;6;1;1;1;;0;0,0;0,0;9,2;0,0;0,0;4,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;0,0;0,0;0,0;1,5;0,0;6,4;0,0;0,0;1,3;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/11/1999;1;42,0;74,3;3;4;1;1;1;;0;0,0;12,0;42,0;0,0;0,0;0,0;0,0;11,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;9,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/10/1999;1;19,0;82,4;29;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;4,0;13,0;0,0;0,0;0,0;9,0;0,0;6,0;0,0;7,0;8,0;0,0;0,0;0,0;0,0;0,0;3,2;0,0;0,0;0,0;13,2;0,0;0,0;19,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/09/1999;1;2,3;3,7;14;2;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/08/1999;1;7,4;20,4;13;5;1;1;1;;0;2,8;0,0;0,0;0,0;0,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;7,4;0,0;0,0;0,0;0,0;0,0;4,2;0,0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/07/1999;1;9,0;34,5;17;6;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;6,0;0,0;0,0;0,0;0,0;0,0;3,0;0,0;7,2;0,0;0,0;9,0;0,0;4,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,3;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/06/1999;1;45,0;113,0;16;9;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;2,0;0,0;34,0;0,0;0,0;0,0;0,0;0,2;0,0;2,0;45,0;5,0;0,0;0,0;0,0;0,0;2,4;0,0;0,0;3,2;0,0;19,2;0,0;0,0;0,0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/05/1999;1;4,9;22,0;6;12;1;1;1;;0;0,0;1,1;0,7;0,0;0,0;4,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;3,3;2,1;0,0;3,6;0,0;0,3;0,0;0,4;0,0;0,0;1,3;1,8;0,0;0,0;2,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/04/1999;1;0,8;2,0;8;3;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,4;0,8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/03/1999;1;1,9;1,9;21;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,9;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/02/1999;1;1,3;1,3;13;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
937026;1;01/01/1999;1;2,3;2,3;22;1;1;1;1;;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
